name,value
1,68.5
2,141
3,308.5
4,6855
5,83.5
6,583
7,136.5
8,55.5
9,565
10,55
11,10
12,726.5
13,31
14,129
15,70
16,36
17,372.5
18,68.5
19,141
20,308.5
21,2614.5
22,4886.5
23,8831.5
24,1609
25,1214.5
26,1002
27,1514.5
28,2105
29,9571.5
30,21369
31,3133.5
32,17610.5
33,2310.5
34,135
35,86
36,918
37,206.5
38,925.5
39,223.5
40,993
41,398.5
42,932
43,902.5
44,183.5
45,826.5
46,250.5
47,1336.5
48,8080.5
49,246.5
50,5838.5
51,1054
52,1323.5
53,2185
54,476
55,2894.5
56,92.5
57,2509.5
58,1719
59,1295.5
60,189.5
61,512.5
62,1082
63,1254
64,95
65,907
66,990.5
67,895
68,221.5
69,4742.5
70,1243
71,293.5
72,624.5
73,93.5
74,122
75,4804
76,14500.5
77,3514.5
78,499
79,7172
80,263.5
81,115
82,5395
83,156
84,1403.5
85,1833
86,494
87,185
88,144
89,73.5
90,1557.5
91,338.5
92,1057.5
93,3151.5
94,150
95,29
96,1233
97,361.5
98,377.5
99,225.5
100,120.5
101,565.5
102,696
103,12782.5
104,417.5
105,1029
106,4738.5
107,290.5
108,3644.5
109,2210
110,30379.5
111,12047.5
112,229
113,11562.5
114,12072.5
115,22224.5
116,71516
117,28751
118,17967.5
119,8941.5
120,70261.5
121,50521.5
122,60563.5
123,12449.5
124,104613
125,18059.5
126,18283
127,245938.5
128,92670.5
129,42193
130,127250
131,15628.5
132,27835
133,998.5
134,103
135,173.5
136,1109
137,1121.5
138,551
139,74
140,64.5
141,50
142,119
143,141.5
144,330
145,2445
146,206.5
147,25573
148,37562.5
149,14926.5
150,26854.5
151,52520.5
152,99209.5
153,27583
154,8869.5
155,17136
156,78782.5
